Tempo,Empuxo,Pressao
14501,-106.363640,0.000000
14526,-142.246765,0.000000
14550,-99.701302,0.000000
14574,-121.324677,0.000000
14599,-117.000008,0.000000
14623,-100.051949,0.000000
14647,-103.558449,0.000000
14671,-99.935066,0.000000
14696,-105.662338,0.000000
14720,-137.103897,0.000000
14744,-101.103897,0.000000
14771,-52.363640,0.000000
14795,-25.831169,0.000000
14819,-38.805195,0.000000
14844,-36.116886,0.000000
14868,41.259743,0.000000
14892,7.948052,0.000000
14917,61.129871,0.000000
14941,71.649353,0.000000
14965,36.000000,0.000000
14990,53.415588,0.000000
15014,47.922081,0.000000
15038,41.961040,0.000000
15063,27.233767,0.000000
15087,29.220779,0.000000
15111,19.519482,0.000000
15135,6.077922,0.000000
15160,-39.272728,0.000000
15188,-57.038963,0.000000
15214,-67.675331,0.000000
15238,-79.597404,0.000000
15262,-116.181824,0.000000
15289,-157.441559,0.000000
15313,-159.077927,0.000000
15338,-92.688316,0.000000
15362,-15.545455,0.000000
15386,96.896111,0.000000
15411,122.610397,0.000000
15436,126.116890,0.000000
15460,127.753250,0.000000
15484,108.935066,0.000000
15509,95.259743,0.000000
15533,130.792206,0.000000
15558,92.220779,0.000000
15582,64.402603,0.000000
15607,5.610390,0.000000
15631,-28.870131,0.000000
15656,-46.051949,0.000000
15680,-44.766235,0.000000
15705,-95.844162,0.000000
15729,-104.142860,0.000000
15756,-37.285717,0.000000
15780,-18.116884,0.000000
15804,-3.038961,0.000000
15829,-30.389612,0.000000
15853,-30.272728,0.000000
15878,30.038961,0.000000
15902,81.000000,0.000000
15931,146.688324,0.000000
15956,144.000000,0.000000
15981,139.909103,0.000000
16005,92.454552,0.000000
16030,79.597404,0.000000
16054,52.948055,0.000000
16079,71.766235,0.000000
16103,65.805199,0.000000
16128,78.779221,0.000000
16152,64.402603,0.000000
16177,65.337662,0.000000
16201,26.649351,0.000000
16226,-19.402597,0.000000
16250,-98.415588,0.000000
16277,-73.285721,0.000000
16301,-62.064938,0.000000
16326,-99.701302,0.000000
16350,-139.909103,0.000000
16374,-99.000008,0.000000
16399,-73.987015,0.000000
16423,-55.753250,0.000000
16448,-27.467533,0.000000
16472,-57.038963,0.000000
16497,-3.038961,0.000000
16521,-28.168833,0.000000
16545,-52.012989,0.000000
16570,-29.103897,0.000000
16594,-37.636364,0.000000
16619,-6.311688,0.000000
16643,19.753248,0.000000
16670,-43.246754,0.000000
16697,-29.922079,0.000000
16722,-20.688313,0.000000
16748,-35.766235,0.000000
16773,-48.272728,0.000000
16797,-15.896105,0.000000
16821,-2.337662,0.000000
16846,52.480522,0.000000
16870,188.415588,0.000000
16895,239.493515,0.000000
16919,213.428574,0.000000
16944,192.272736,0.000000
16968,127.519485,0.000000
16993,85.441559,0.000000
17017,69.545456,0.000000
17042,12.389611,0.000000
17066,-0.467532,0.000000
17090,-8.532468,0.000000
17115,15.311689,0.000000
17139,58.675327,0.000000
17164,72.000000,0.000000
17188,112.792213,0.000000
17213,97.714287,0.000000
17237,64.051949,0.000000
17260,55.753250,0.000000
17285,48.974030,0.000000
17309,23.727274,0.000000
17334,2.454545,0.000000
17358,-47.103897,0.000000
17383,-98.532471,0.000000
17407,-149.025986,0.000000
17436,-235.285721,0.000000
17462,-224.181824,0.000000
17486,-228.857147,0.000000
17511,-196.714294,0.000000
17535,-181.753250,0.000000
17564,-157.558441,0.000000
17589,-94.558449,0.000000
17613,-9.818182,0.000000
17638,-50.610390,0.000000
17662,-39.506496,0.000000
17687,-23.610390,0.000000
17711,-14.610390,0.000000
17738,38.454548,0.000000
17762,57.857143,0.000000
17787,37.870132,0.000000
17811,81.467537,0.000000
17836,106.714287,0.000000
17861,72.233772,0.000000
17885,49.090912,0.000000
17910,19.987013,0.000000
17934,-35.181820,0.000000
17959,-58.090912,0.000000
